Address,Neighborhood,Project.Type,Status,Size,Pipeline Link,Neighborhood:,Pipeline,Project type:,No. of units:,Types of units:,Unit sizes:,Amenities:,Pricing:,Website:,Architect:,Last updated:,Address:,Status:,First move-ins:,Latitude,Longitude
Cortland Rosslyn,Rosslyn,Rental,"Delivered, Leasing Up",780  units,https://dc.urbanturf.com/pipeline/884/Cortland_Rosslyn,,,                                  Rental apartments                              </p>,780.0,"                  Studios, one-, two- and three-bedroom apartments                </p>","                  490 - 1,250 square feet                </p>",,"                  $2,777 - $6,436                </p>",https://evorosslyn.com,Hickok Cole Architects  ,"                June 3rd, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  1788 N. Pierce Street,  Arlington, VA,  22209,  ","Delivered, Leasing Up","                    2021                  </p></div>, <div class=""block""><h3>Jen Angotti</h3>",38.8946704,-77.0767113
The Hartley,Shepherd Park,Rental,"Delivered, Leasing Up",323  units,https://dc.urbanturf.com/pipeline/896/The_Hartley,,,                                  Rental apartments                              </p>,323.0,"                  Studios, one- and two-bedroom residences                </p>",,,,https://www.thehartley.com,,"                May 26th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  7150 12th Street NW,  Washington, DC,  20012,  ","Delivered, Leasing Up","                    2022                  </p></div>, <div class=""block""><h3>Jen Angotti</h3>",38.9765654,-77.0283453
The Galaxy,Silver Spring,Rental,"Delivered, Leasing Up",195  units,https://dc.urbanturf.com/pipeline/193/The_Galaxy,,,                                  Rental apartments                              </p>,195.0,                  One- and two-bedroom apartments                </p>,"                  628 - 1,249 square feet                </p>","                  Fitness center, clubroom, cyber cafe, concierge/attended front desk                </p>",,http://www.thegalaxyapts.com/,AR Meyers  ,"                May 26th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  8025 13th Street,  Silver Spring, MD,  20012,  ","Delivered, Leasing Up",,38.9873755,-77.0274015
St. Elizabeths East: Parcel 15,Congress Heights,Rental,"Under Construction, Not Yet Leasing",300  units,https://dc.urbanturf.com/pipeline/938/St_Elizabeths_East_Parcel_15,,,                                  Rental apartments                              </p>,300.0,                  TBD                </p>,,,,,Adjaye Associates  ,"                May 26th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  1100 Alabama Avenue SE,  Washington, DC,  20032,  ","Under Construction, Not Yet Leasing",,38.844421,-76.990461
The Camille,Bethesda,Rental,"Delivered, Leasing Up",200  units,https://dc.urbanturf.com/pipeline/878/The_Camille,,,                                  Rental apartments                              </p>,200.0,"                  Studios, one-, and two-bedroom residences                </p>",,,,https://www.simpsonpropertygroup.com/apartments/bethesda-maryland/the-camille-bethesda,SK+I Architecture  ,"                May 18th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  7000 Wisconsin Avenue,  Bethesda, MD,  20814,  ","Delivered, Leasing Up","                    2023                  </p></div>, <div class=""block""><h3>Courtney Abrams</h3>",38.9792298,-77.0919454
1331 5th Street NE,Union Market,Rental,Planned,647  units,https://dc.urbanturf.com/pipeline/1055/1331_5th_Street_NE,,,                                  Rental apartments                              </p>,647.0,                  TBD                </p>,,,,,Selldorf Architects  ,"                May 18th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  1331 5th Street NE,  Washington, DC,  20002,  ",Planned,,38.9098958,-76.9969742
Gables Union Market,Union Market,Rental,"Delivered, Leasing Up",301  units,https://dc.urbanturf.com/pipeline/1059/Gables_Union_Market,,,                                  Rental apartments                              </p>,301.0,"                  Studios, one- and two-bedroom residences                </p>",,,,https://gablesunionmarket.com/,hord | coplan | macht  ,"                May 18th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  1329 5th Street NE,  Washington, DC,  20002,  ","Delivered, Leasing Up",,38.9090872,-76.9976457
The MO,Union Market,Rental,"Delivered, Leasing Up",299  units,https://dc.urbanturf.com/pipeline/715/The_MO,,,                                  Rental apartments                              </p>,299.0,"                  Studios, one-, two- and three-bedroom apartments                </p>",,"                  Fitness room, a penthouse lounge and party room, and a rooftop deck with pool, 203 below-grade parking spaces                </p>",,https://www.udr.com/washington-dc-apartments/union-market/the-mo/?PPC=GA&amp;gad_source=1&amp;gclid=CjwKCAjwupGyBhBBEiwA0UcqaFvR97spufD6JzOuBL1c1lCFuS-0V0M8z8qC5wtfcZcjeSlDAhnuWxoCAdIQAvD_BwE,Eric Colbert &amp; Associates  ,"                May 18th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  500 Penn Street NE,  Washington, DC,  20002,  ","Delivered, Leasing Up","                    2028                  </p></div>, <div class=""block""><h3>Maxwell Rabin</h3>",38.910626,-76.997879
Margarite,Union Market,Rental,"Delivered, Leasing Up",260  units,https://dc.urbanturf.com/pipeline/1057/Margarite,,,                                  Rental apartments                              </p>,260.0,"                  One-, two- and three-bedroom apartments                </p>",,                  165 below-grade parking spaces and 135 bicycle spaces                </p>,,https://www.margaritedc.com/penthouse/?utm_source=UrbanTurf&amp;utm_medium=referral&amp;utm_campaign=Margarite_UrbanTurfCampaignMay6,,"                May 18th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  340 Morse Street NE,  Washington, DC,  20002,  ","Delivered, Leasing Up",,38.9080588,-77.0002119
The Signet,Downtown McLean,Condo,Sold Out,123  units,https://dc.urbanturf.com/pipeline/811/The_Signet,,,                                  Condos                              </p>,123.0,"                  One-, two- and three-bedroom condominiums                </p>","                  1,100 to 3,200 square feet                </p>","                  Fitness center with sauna, pet spa, electric car charging stations, courtyard with fire pit                </p>",                  From the $800s                </p>,,Franck &amp; Lohsen Architects  ,"                May 12th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  6900 Fleetwood Road,  McLean, VA,  22101,  ",Sold Out,,38.938015,-77.180767
