Address,Neighborhood,Project.Type,Status,Size,Pipeline Link,Neighborhood:,Pipeline,Project type:,No. of units:,Types of units:,Unit sizes:,Amenities:,Pricing:,Website:,Architect:,Last updated:,Address:,Status:,First move-ins:,Latitude,Longitude
RESA,NoMa,Rental,"Delivered, Leasing Up",326  units,https://dc.urbanturf.com/pipeline/645/RESA,,,                                  Rental apartments                              </p>,326.0,"                  Studios, one- and two-bedroom apartments                </p>","                  489 - 1,021 square feet                </p>","                  Rooftop lounge with kitchen and pool, second-floor courtyard with grills and TV, gym, pet spa                </p>","                  $1,870 - $3,775                </p>",http://resanoma.com/,Design Collective  ,"                July 9th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  22 M Street NE,  Washington, DC,  20002,  ","Delivered, Leasing Up","                    Spring 2019                  </p></div>, <div class=""block""><h3>Jen Angotti</h3>",,
ProFish Redevelopment,Ivy City,Condo,Planned,123  units,https://dc.urbanturf.com/pipeline/1158/ProFish_Redevelopment,,,                                  Condos                              </p>,123.0,                  TBD                </p>,,,,,PGN Architects  ,"                July 4th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  1900 Fenwick Street NE,  Washington, DC,  20002,  ",Planned,,38.9142138,-76.984753
Gallaudet Redevelopment,Union Market,Condo or Rental - TBD,Planned,1769  units,https://dc.urbanturf.com/pipeline/486/Gallaudet_Redevelopment,,,                                  Condo or Rental - TBD                              </p>,1769.0,                  TBD                </p>,,,,https://www.gallaudet.edu/administration-office/sixth-street-development/,Hall McKnight  ,"                July 4th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  Florida Avenue NE & 6th Street NE,  Washington, DC,  20002,  ",Planned,,,
Boathouse,Foggy Bottom,Rental,"Delivered, Leasing Up",250  units,https://dc.urbanturf.com/pipeline/596/Boathouse,,,                                  Rental apartments                              </p>,250.0,"                  Studio, one- and two-bedroom apartments                </p>",                  358 - 843 square feet                </p>,,"                  $2,290 - $5,327                </p>",https://www.boathousedc.com,WDG Architecture  ,"                June 25th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  2601 Virginia Avenue NW,  Washington, DC,  20037,  ","Delivered, Leasing Up",,38.9002564,-77.055344
Westlight Condominiums,West End,Condo,"Delivered, Selling",71  units,https://dc.urbanturf.com/pipeline/625/Westlight_Condominiums,,,                                  Condos                              </p>,71.0,"                  One-, two- and three-bedroom apartments                </p>","                  962 - 3,051 square feet                </p>","                  Underground parking, high-tech fitness center, and DC's only 25-meter heated rooftop pool                </p>",,http://www.westlightcondo.com,TEN Arquitectos  ,"                June 25th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  1111 24th Street NW,  Washington, DC,  20037,  ","Delivered, Selling",,38.9039104,-77.0513049
Valo,Southwest,Rental,"Delivered, Leasing Up",221  units,https://dc.urbanturf.com/pipeline/551/Valo,,,                                  Rental apartments                              </p>,221.0,"                  Studios, one- and two-bedroom apartments                </p>","                  428 - 1,137 square feet                </p>",,"                  $1,655 - $3,555                </p>",https://valodc.com,Shalom Baranes Associates  ,"                June 25th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  222 M Street SW,  Washington, DC,  20024,  ","Delivered, Leasing Up","                    Fall 2018                  </p></div>, <div class=""block""><h3>Sean Aalai</h3>",,
The Clifton,Columbia Heights,Rental,"Delivered, Leasing Up",156  units,https://dc.urbanturf.com/pipeline/406/The_Clifton,,,                                  Rental apartments                              </p>,156.0,"                  Studios, one-, two-, three- and four-bedroom apartments                </p>",,,"                  $2,182 - $4,200                </p>",https://thecliftondc.com/,Cunningham|Quill Architects  ,"                June 25th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  1309-1315 Clifton Street NW,  Washington, DC,  20009,  ","Delivered, Leasing Up",                    Summer 2019                  </p>,38.9225115,-77.0300215
The Lockwood Apartments,Hill East,Rental,"Delivered, Leasing Up",145  units,https://dc.urbanturf.com/pipeline/575/The_Lockwood_Apartments,,,                                  Rental apartments                              </p>,145.0,"                  One-, two- and three-bedroom apartments                </p>","                  617 - 1,516 square feet                </p>",                  90 below-grade parking spaces; residents will receive 5-years paid bikeshare or carshare membership                </p>,"                  $2,212 - $4,888                </p>",https://www.thelockwooddc.com/,SK+I Architecture  ,"                June 25th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  1339-1355 E Street SE,  Washington, DC,  20003,  ","Delivered, Leasing Up","                    Summer 2019                  </p></div>, <div class=""block""><h3>Lee Murphy</h3>",38.8826412,-76.9866492
The Shay,U Street Corridor,Rental,"Delivered, Leasing Up",245  units,https://dc.urbanturf.com/pipeline/181/The_Shay,,,                                  Rental apartments                              </p>,245.0,"                  Studios, one- and two-bedroom apartments                </p>","                  495 - 1,223 square feet                </p>",,"                  $2,080 - $5,407                </p>",http://theshaydc.com,BKV Group  ,"                June 25th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  1921 8th Street NW,  Washington, DC,  20001,  ","Delivered, Leasing Up",,38.9161706,-77.0227485
The Rushmore,Hill East,Rental,"Delivered, Leasing Up",117  units,https://dc.urbanturf.com/pipeline/573/The_Rushmore,,,                                  Rental apartments                              </p>,117.0,                  TBD                </p>,                  375 - 820 square feet                </p>,"                  Wading pool, gym, lounge, shared kitchen, guest-suite units, 21 below-grade parking spaces                </p>","                  $1,685 - $2,584                </p>",http://www.therushmoredc.com,SGA Companies  ,"                June 18th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  1234 Pennsylvania Avenue SE,  Washington, DC,  20003,  ","Delivered, Leasing Up","                    Fall 2019                  </p></div>, <div class=""block""><h3>Lee Murphy</h3>",38.8820991,-76.9891136
Gables Pointe 14,Courthouse,Rental,"Delivered, Leasing Up",368  units,https://dc.urbanturf.com/pipeline/416/Gables_Pointe_14,,,                                  Rental apartments                              </p>,368.0,"                  One-, two-, and three-bedroom apartments                </p>","                  505 - 1,165                </p>",,"                  $2,235- $6,308                </p>",https://www.gables.com/communities/virginia/arlington/gables-pointe-14/,KTGY Group  ,"                June 18th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  1351 N Rolfe Street,  Arlington, VA,  22209,  ","Delivered, Leasing Up",                    Late Summer 2019                  </p>,38.8892596,-77.0796631
The Glover House,Glover Park,Rental,"Delivered, Leasing Up",225  units,https://dc.urbanturf.com/pipeline/631/The_Glover_House,,,                                  Rental apartments                              </p>,225.0,"                  Studios, one-, two-, three- and four-bedroom residences                </p>","                  372 - 1,270                </p>","                  Rooftop pool, lounge, fitness center                </p>","                  $2,115 - $5,090                </p>",http://www.thegloverhouse.com,Eric Colbert &amp; Associates  ,"                June 18th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  2101 Wisconsin Ave NW,  Washington, DC,  20007,  ","Delivered, Leasing Up","                    2020                  </p></div>, <div class=""block""><h3>Maxwell Rabin</h3>",38.9175636,-77.0687524
The Vintage on 16th,Mt. Pleasant,Rental,"Delivered, Leasing Up",85  units,https://dc.urbanturf.com/pipeline/138/The_Vintage_on_16th,,,                                  Rental apartments                              </p>,85.0,"                  Studios, one-, two- and three-bedroom apartments                </p>",,"                  Rooftop deck with grills, 24-hour fitness center, club room, bike room with repair station, uber waiting room                </p>","                  $1,960 - $2,260+                </p>",https://www.thevintage.com,BKV Group  ,"                June 18th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  3146 16th Street NW,  Washington, DC,  20010,  ","Delivered, Leasing Up","                    Fall 2016                  </p></div>, <div class=""block""><h3>Maxwell Rabin</h3>",38.9299897,-77.0368955
Trellis House,U Street Corridor,Rental,"Delivered, Leasing Up",319  units,https://dc.urbanturf.com/pipeline/381/Trellis_House,,,                                  Rental apartments                              </p>,319.0,"                  Studio, one- and two-bedroom apartments                </p>",,,"                  $2,102 - $3,998                </p>",https://www.trellishousedc.com/,Niles Bolton Associates  ,"                June 18th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  907 Barry Place NW,  Washington, DC,  20001,  ","Delivered, Leasing Up","                    March 2018                  </p></div>, <div class=""block""><h3>Joel Nelson Group</h3>",38.9208395,-77.0242826
The Oxford,Oxon Hill,Rental,"Delivered, Leasing Up",187  units,https://dc.urbanturf.com/pipeline/751/The_Oxford,,,                                  Rental apartments                              </p>,187.0,"                  Studio, one-, two- and three-bedrooms                </p>","                  562 - 1,171 square feet                </p>","                  Fitness room, business center, party room, dog wash, entertainment room and a small fenced-in dog park                </p>","                  $1,582 -  $3,078                </p>",https://www.theoxfordapts.com,Soto  ,"                June 18th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  6009 Oxon Hill Road,  Oxon Hill, MD,  20745,  ","Delivered, Leasing Up","                    2019                  </p></div>, <div class=""block""><h3>Courtney Abrams</h3>",38.80556,-76.978069
Park Van Ness,Van Ness,Rental,"Delivered, Leasing Up",271  units,https://dc.urbanturf.com/pipeline/270/Park_Van_Ness,,,                                  Rental apartments                              </p>,271.0,"                  Junior one bed and one-, two- and three-bedroom apartments                </p>","                  520 - 1,411 square feet                </p>","                  Rooftop pool and sundeck, spacious fitness center with private yoga and stretching room, controlled access garage, rooftop kitchen and reflection area, four resident only park-facing courtyards                </p>","                  $2,087 - $5,000                </p>",http://www.parkvanness.com,Torti Gallas + Partners  ,"                June 18th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  4455 Connecticut Avenue NW,  Washington, DC,  20008,  ","Delivered, Leasing Up",,38.9469613,-77.0646505
Arcade Sunshine,Park View,Rental,"Delivered, Leasing Up",225  units,https://dc.urbanturf.com/pipeline/375/Arcade_Sunshine,,,                                  Rental apartments                              </p>,225.0,"                  Studio, one- and two-bedroom apartments                </p>","                  335 - 1,044 square feet                </p>","                  Two roof decks, game room, outside grilling area, fitness room with yoga studio, underground parking, bike rooms, storage                </p>",,https://arcadesunshinedc.com,Eric Colbert &amp; Associates  ,"                May 21st, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  713 Lamont Street NW,  Washington, DC,  20010,  ","Delivered, Leasing Up","                    2017                  </p></div>, <div class=""block""><h3>Lee Murphy</h3>",38.9312077,-77.0247597
CityCenterDC,Downtown,Rental,"Delivered, Leasing Up",458  units,https://dc.urbanturf.com/pipeline/108/CityCenterDC,,,                                  Rental apartments                              </p>,458.0,"                  Studios, one-, two-, three-bedroom, and penthouse apartments                </p>",,,"                  $2,672 - $9,512                </p>",http://www.apartmentsatcitycenter.com/,Foster + Partners  ,"                May 21st, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  825 & 875 10th Street NW,  Washington, DC,  20001,  ","Delivered, Leasing Up","                    Q4 2013                  </p></div>, <div class=""block last""><h3>Etc.</h3><p class=""etc"">- CenterClub - A two-story fitness center featuring LifeFitness Elevation Series cardio and Signature Series weight equipment, as well as a group class/yoga studio- HydroClub - Outdoor pool with adjacent lounge and multipurpose room- ConnectionsCafe - A gathering place to work, study, connect or chat- SkyBark - Lively rooftop dog walk- Business Center - Equipped with a conference room, computer workstations, printer, scanner and copier- Rooftop bocce court, sundeck and outdoor dining area with grills and kitchen</p></div>, <div class=""block""><h3>Joel Nelson Group</h3>",,
Woodmont Park Apartments,White Flint,Rental,"Delivered, Leasing Up",330  units,https://dc.urbanturf.com/pipeline/475/Woodmont_Park_Apartments,,,                                  Rental apartments                              </p>,330.0,"                  One-, two-, and three-bedroom apartments                </p>","                  605 - 1,030 square feet                </p>",,"                  $1,285 - $1,835                </p>",http://www.woodmontparkapartments.com,,"                May 21st, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  1001 Rockville Pike,  Rockville, MD,  20852,  ","Delivered, Leasing Up",,39.0719353,-77.1327916
7001 Arlington Road,Bethesda,Rental,"Delivered, Leasing Up",140  units,https://dc.urbanturf.com/pipeline/300/7001_Arlington_Road,,,                                  Rental apartments                              </p>,140.0,"                  Studios, one-, and two-bedroom apartments                </p>","                  623 - 1,345 square feet                </p>","                  Fitness center, clubroom, bocce ball court, parking garage                </p>",                  Starting at $2000/month                </p>,https://www.7001arlingtonatbethesda.com,KGD Architecture  ,"                May 14th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  7001 Arlington Road,  Bethesda, MD,  20814,  ","Delivered, Leasing Up",,38.979687,-77.0976872
The Bonifant,Silver Spring,Rental,"Delivered, Leasing Up",149  units,https://dc.urbanturf.com/pipeline/464/The_Bonifant,,,                                  Rental apartments                              </p>,149.0,                  Studios and one-bedroom apartments                </p>,"                  576 - 1,023 square feet                </p>","                  State-of-the-art 24-hour fitness center, outdoor terrace, community lounge with WiFi and TV                </p>",,http://thebonifant.com,Stantec Architecture  ,"                May 14th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  929 Bonifant Street,  Silver Spring, MD,  20910,  ","Delivered, Leasing Up",,38.9940105,-77.0251942
The Residences at St. Elizabeths East,Congress Heights,Rental,"Delivered, Leasing Up",252  units,https://dc.urbanturf.com/pipeline/578/The_Residences_at_St_Elizabeths_East,,,                                  Rental apartments                              </p>,252.0,"                  Studio, one-, two- and three-bedroom apartments                </p>","                  400 - 1,350 square feet                </p>",,"                  $1,187 - $2,220                </p>",https://www.steapts.com,Perkins Eastman  ,"                May 14th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  1201 Oak Drive SE,  Washington, DC,  20032,  ","Delivered, Leasing Up","                    November 2019                  </p></div>, <div class=""block""><h3>Lee Murphy</h3>",38.846978,-76.992396
NOVEL South Capitol,Navy Yard,Rental,"Delivered, Leasing Up",523  units,https://dc.urbanturf.com/pipeline/491/NOVEL_South_Capitol,,,                                  Rental apartments                              </p>,523.0,"                  Studio, one-, two- and three-bedroom apartments                </p>","                  503 - 1,799 square feet                </p>",,"                  $2,021 - $5,303                </p>",https://www.novelsouthcapitol.com/?utm_source=UrbanTurf&amp;utm_medium=display&amp;utm_campaign=NovelSouthCapitol_urbanturf052023,SK+I Architecture  ,"                May 7th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  2 Eye Street SE,  Washington, DC,  20003,  ","Delivered, Leasing Up",,,
Bainbridge Bethesda,Bethesda,Rental,"Delivered, Leasing Up",200  units,https://dc.urbanturf.com/pipeline/152/Bainbridge_Bethesda,,,                                  Rental apartments                              </p>,200.0,                  One- and two-bedroom apartments                </p>,"                  540 - 1,295 square feet                </p>","                  Pet-friendly, floor-to-ceiling windows, rooftop terrace with pool, in-building parking garage                </p>","                  $2,401 - $3,593+                </p>",http://apartmentsinbethesda.com/,SK+I Architecture  ,"                April 30th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  4918 Saint Elmo Avenue,  Bethesda, MD,  20814,  ","Delivered, Leasing Up",                    July 2014                  </p>,38.9885643,-77.0975586
One Hill South,Navy Yard,Rental,"Delivered, Leasing Up",383  units,https://dc.urbanturf.com/pipeline/774/One_Hill_South,,,                                  Rental apartments                              </p>,383.0,"                  Studio, one-, two- and three-bedroom residences                </p>",,"                  Landscaped rooftop with gunite swimming pool and hot tubs, full court basketball gymnasium, billiards room and club lounge, fitness center with private yoga and personal training studio,                </p>","                  $2,175 - $7,500                </p>",https://www.relatedrentals.com/apartment-rentals/washington-dc/capitol-riverfront/one-hill-south?ctd_ac=3399705&amp;LOC=RR627_DIGSEM_GOO00.06926&amp;ctx_name=RR627_DIGSEM_GOO00.06926&amp;cmpid=G_DC_One_Hill_South_Brand&amp;&amp;campaign=G_DC_One+Hill+South_Brand&amp;content=One+,Morris Adjmi  ,"                April 30th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  28 K Street SE,  Washington, DC,  20003,  ","Delivered, Leasing Up","                    2017                  </p></div>, <div class=""block""><h3>Sean Aalai</h3>",,
The Parks at Walter Reed: Parcel M,The Parks at Walter Reed,Rental,Planned,102  units,https://dc.urbanturf.com/pipeline/1143/The_Parks_at_Walter_Reed_Parcel_M,,,                                  Rental apartments                              </p>,102.0,                  TBD                </p>,,,,,,"                April 30th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  1250 Dahlia Street NW,  Washington, DC,  20307,  ",Planned,,38.9756048,-77.0277983
Pike Center,Rockville Pike Corridor,Condo or Rental - TBD,Planned,740  units,https://dc.urbanturf.com/pipeline/1142/Pike_Center,,,                                  Condo or Rental - TBD                              </p>,740.0,                  TBD                </p>,,,,,,"                April 30th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  12101 Rockville Pike,  Rockville, MD,  20852,  ",Planned,,39.05969,-77.1220091
Shops at Sumner Place Redevelopment,Behesda,Condo or Rental - TBD,Planned,132  units,https://dc.urbanturf.com/pipeline/1141/Shops_at_Sumner_Place_Redevelopment,,,                                  Condo or Rental - TBD                              </p>,132.0,                  TBD                </p>,,,,,Architects Collaborative Incorporated  ,"                April 23rd, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  4701 Sangamore Road,  Bethesda, MD,  20816,  ",Planned,,38.9499551,-77.1194597
Bethesda Row Infill,Bethesda,Rental,Planned,250  units,https://dc.urbanturf.com/pipeline/1128/Bethesda_Row_Infill,,,                                  Rental apartments                              </p>,250.0,                  TBD                </p>,,,,,Hickok Cole  ,"                April 6th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  7070 Arlington Rd,  Bethesda, MD,  20814,  ",Planned,,38.9803384,-77.0984975
4 Bethesda Metro Center,Downtown Bethesda,Condo or Rental - TBD,Planned,479  units,https://dc.urbanturf.com/pipeline/752/4_Bethesda_Metro_Center,,,                                  Condo or Rental - TBD                              </p>,479.0,                  TBD                </p>,,,,,,"                April 6th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  4 Bethesda Metro Center,  Bethesda, MD,  20814,  ",Planned,,38.9847744,-77.0957275
The Tides,The Wharf,Condo,"Delivered, Leasing Up",255  units,https://dc.urbanturf.com/pipeline/1021/The_Tides,,,                                  Condos                              </p>,255.0,"                  Studio, one- and two-bedroom apartments                </p>",,,,https://www.thetidesdc.com,ODA Architecture  ,"                March 14th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  760 Maine Avenue SW,  Washington, DC,  20024,  ","Delivered, Leasing Up",,38.8781835,-77.0220048
Ourisman Ford Redevelopment,Bethesda,Rental,Planned,348  units,https://dc.urbanturf.com/pipeline/727/Ourisman_Ford_Redevelopment,,,                                  Rental apartments                              </p>,348.0,                  TBD                </p>,,,,,KTGY Architecture + Planning  ,"                March 3rd, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  Westlake Terrace & Motor City Drive,  Bethesda, MD,  20817,  ",Planned,                    TBD                  </p>,,
Broadcast,Tenleytown,Rental,"Under Construction, Not Yet Leasing",144  units,https://dc.urbanturf.com/pipeline/646/Broadcast,,,                                  Rental apartments                              </p>,144.0,"                  Studio, one- and two-bedroom apartments                </p>",,,,https://urbaninvestmentpartners.com/project/broadcast/,Hickok Cole Architects  ,"                March 3rd, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  4620-4624 Wisconsin Avenue NW,  Washington, DC,  20016,  ","Under Construction, Not Yet Leasing","                    Summer 2023                  </p></div>, <div class=""block""><h3>Lee Murphy</h3>",38.9500219,-77.0805826
4915 Quarles Street NE,Deanwood,Rental,Planned,36  units,https://dc.urbanturf.com/pipeline/1113/4915_Quarles_Street_NE,,,                                  Rental apartments                              </p>,36.0,"                  Studios, one-bedroom and two-bedroom apartments                </p>",,,,,RAM Design  ,"                February 24th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  4915 Quarles Street NE,  Washington, DC,  20019,  ",Planned,,38.9083169,-76.9298808
RIALTO,Edgewood,Rental,"Delivered, Leasing Up",74  units,https://dc.urbanturf.com/pipeline/852/RIALTO,,,                                  Rental apartments                              </p>,74.0,                  One- and two-bedroom apartments                </p>,"                  684 to 1,345 square feet                </p>","                  Rooftop terrace, pet spa, parking garage, most floorplans include balconies                </p>","                  From $2,137 to $4,640 per month                </p>",https://www.rialtoaptsdc.com/,MTFA Architecture  ,"                January 31st, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  410 Rhode Island Avenue NE,  Washington, DC,  20002,  ","Delivered, Leasing Up",,38.9202021,-76.99999
Pilot House at Riverdale,Riverdale Park,Rental,"Delivered, Leasing Up",225  units,https://dc.urbanturf.com/pipeline/950/Pilot_House_at_Riverdale,,,                                  Rental apartments                              </p>,225.0,"                  Studio, one- and two-bedroom apartments                </p>",,,,https://www.pilothouseriverdale.com/floor-plans/,,"                January 26th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  4650 Van Buren St,  Riverdale Park, MD,  20737,  ","Delivered, Leasing Up","                    Summer 2021                  </p></div>, <div class=""block""><h3>Sean Aalai</h3>",38.9692863,-76.933953
Metro Plaza at Wheaton,Downtown Silver Spring,Condo or Rental - TBD,Planned,250  units,https://dc.urbanturf.com/pipeline/467/Metro_Plaza_at_Wheaton,,,                                  Condo or Rental - TBD                              </p>,250.0,                  TBD                </p>,,,,http://www.bonstra.com/metro-plaza-wheaton-2/,Bonstra|Haresign Architects  ,"                January 25th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  11171 Georgia Avenue,  Silver Spring, MD,  20910,  ",Planned,,39.0131396,-77.0418896
2002 11th Street NW,U Street Corridor,Condo,Planned,27  units,https://dc.urbanturf.com/pipeline/442/2002_11th_Street_NW,,,                                  Condos                              </p>,27.0,                  TBD                </p>,,,,http://www.bonstra.com/2002-11th-street-nw-2/,Bonstra|Haresign Architects  ,"                January 25th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  2002 11th Street NW,  Washington, DC,  20001,  ",Planned,,38.9172443,-77.0273495
The Cadence,Buckingham,Rental,"Delivered, Leasing Up",134  units,https://dc.urbanturf.com/pipeline/745/The_Cadence,,,                                  Rental apartments                              </p>,134.0,"                  Studios, one-, two- and three-bedroom residences                </p>",,,,https://www.livethecadence.com/,Bonstra|Haresign Architects  ,"                January 20th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  4333 Arlington Boulevard,  Arlington, VA,  22203,  ","Delivered, Leasing Up","                    Fall 2022                  </p></div>, <div class=""block""><h3>Joel Nelson Group</h3>",38.86988,-77.105036
Residences at Hayes,Deanwood,Rental,"Delivered, Leasing Up",150  units,https://dc.urbanturf.com/pipeline/434/Residences_at_Hayes,,,                                  Rental apartments                              </p>,150.0,"                  Studio, one- and two-bedroom apartments                </p>",,"                  75 parking spaces, a gym, garden, playground, patio and game room                </p>",,https://www.pennrose.com/apartments/washington-dc/residences-at-hayes/,Torti Gallas + Partners  ,"                January 19th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  5201 Hayes Street NE,  Washington, DC,  20019,  ","Delivered, Leasing Up",,38.899461,-76.927242
Estate at the Yards,Capitol Riverfront,Rental,"Delivered, Leasing Up",270  units,https://dc.urbanturf.com/pipeline/595/Estate_at_the_Yards,,,                                  Rental apartments                              </p>,270.0,"                  Studio and one-bedroom chalets, two-bedroom villas, two-bedroom townhouse villas                </p>",,                  270 underground automobile parking spaces; 109 permanent and 24 temporary bicycle parking spaces                </p>,,https://estatedc.com,Studios Architecture  ,"                January 12th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  3 Tingey Square SE,  Washington, DC,  20003,  ","Delivered, Leasing Up","                    2020                  </p></div>, <div class=""block""><h3>Joel Nelson Group</h3>",38.874777,-77.0029574
Northwest One Redevelopment,NoMA,Rental,"Delivered, Leasing Up",750  units,https://dc.urbanturf.com/pipeline/770/Northwest_One_Redevelopment,,,                                  Rental apartments                              </p>,750.0,"                  One-, two-, three- and four-bedroom units                </p>",,,,https://www.risetemplecourts.com/floorplans,SK+I Architecture  ,"                January 12th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  2 L Street NW,  Washington, DC,  20001,  ","Delivered, Leasing Up",,,
550 Morse,Union Market,Rental,"Delivered, Leasing Up",280  units,https://dc.urbanturf.com/pipeline/535/550_Morse,,,                                  Rental apartments                              </p>,280.0,                  One- and two-bedroom apartments                </p>,,,,https://www.550morse.com/,SK+I Architecture  ,"                January 12th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  550 Morse Street NE,  Washington, DC,  20002,  ","Delivered, Leasing Up","                    Spring 2021                  </p></div>, <div class=""block""><h3>Lee Murphy</h3>",38.9074531,-76.9983906
Ledger Union Market,Union Market,Rental,"Delivered, Leasing Up",134  units,https://dc.urbanturf.com/pipeline/908/Ledger_Union_Market,,,                                  Rental apartments                              </p>,134.0,"                  Studios, one-, two- and three-bedroom apartments                </p>",,,,https://www.ledgerunionmarket.com/,Shalom Baranes Associates  ,"                January 12th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  1320 4th Street NE,  Washington, DC,  20002,  ","Delivered, Leasing Up",,38.9095068,-76.9989577
The Lanes at Union Market,Union Market,Rental,"Delivered, Leasing Up",110  units,https://dc.urbanturf.com/pipeline/688/The_Lanes_at_Union_Market,,,                                  Rental apartments                              </p>,110.0,"                  Studio, one- and two-bedroom apartments                </p>",,,"                  $1,200 - $3,800                </p>",https://www.lanesliving.com/washingtondc,SK+I Architecture  ,"                January 12th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  400 Florida Avenue NE,  Washington, DC,  20002,  ","Delivered, Leasing Up",,,
One 501,Eckington,Rental,"Delivered, Leasing Up",327  units,https://dc.urbanturf.com/pipeline/681/One_501,,,                                  Rental apartments                              </p>,327.0,"                  Studio, one-, two- and three-bedroom homes                </p>",,,,https://www.one501dc.com/,,"                January 12th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  1501 Harry Thomas Way NE,  Washington, DC,  20002,  ","Delivered, Leasing Up",,38.9106073,-77.0027215
8421 Broad,Tysons Corner,Rental,"Delivered, Leasing Up",400  units,https://dc.urbanturf.com/pipeline/85/8421_Broad,,,                                  Rental apartments                              </p>,400.0,"                  Studio, one- and two-bedroom apartments                </p>","                  461 - 1,353 square feet                </p>","                  Rooftop pool with fire pit and bar, 24-hour concierge, pet-friendly with grooming salon, bicycle repair station, smoke-free community                </p>","                  $1,784 - $4,118                </p>",https://8421broad.com/,WDG Architecture  ,"                January 12th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  8421 Broad Street,  McLean, VA,  22182,  ","Delivered, Leasing Up",,,
10K Hill South,Capitol Riverfront,Rental,"Delivered, Leasing Up",305  units,https://dc.urbanturf.com/pipeline/937/10K_Hill_South,,,                                  Rental apartments                              </p>,305.0,"                  Studios, one-, two- and three-bedroom apartments                </p>","                  332 - 1,411 square feet                </p>","                  Sky terrace with infinity pool, indoor full basketball court, two-land bowling alley with party lounge, cedar-lined sauna, bike storage and parking garage                </p>",,https://www.relatedrentals.com/apartment-rentals/washington-dc/capitol-riverfront/10k,Morris Adjmi  ,"                January 12th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  10 K Street SE,  Washington, DC,  20003,  ","Delivered, Leasing Up",,,
Press House,NoMa,Rental,"Delivered, Leasing Up",356  units,https://dc.urbanturf.com/pipeline/439/Press_House,,,                                  Rental apartments                              </p>,356.0,"                  Studio, one- and two-bedrooms                </p>",,,,http://presshousedc.com,Torti Gallas Urban  ,"                January 10th, 2023              </p></div>, <div class=""block""><h3>Where?</h3>",",  301 N Street NE,  Washington, DC,  20002,  ","Delivered, Leasing Up","                    2021                  </p></div>, <div class=""block""><h3>Courtney Abrams</h3>",,
